stnm,stid,name,city,rang,cdir,cnty,nlat,elon,elev,cdiv,clas,WCR05,WCS05,A05,N05,BULK5,GRAV5,SAND5,SILT5,CLAY5,TEXT5,WCR10,WCS10,A10,N10,WCR25,WCS25,A25,N25,BULK25,GRAV25,SAND25,SILT25,CLAY25,TEXT25,WCR60,WCS60,A60,N60,BULK60,GRAV60,SAND60,SILT60,CLAY60,TEXT60,WCR75,WCS75,A75,N75,BULK75,GRAV75,SAND75,SILT75,CLAY75,TEXT75,datc,datd,,,,,,,,stid,name,city,nlat,elon,elev,LAT_A_Field ,LONG_A_Field ,LAT_B_Field ,LONG_B_Field ,Distance_A _field(km),Distance_B_ field(km),Rank_A,Rank_B,,,
68,NEWK,Newkirk,Newkirk,8,E,Kay,36.8981,-96.91035,366,North Central,STANDARD,0.088,0.407,0.071,1.33,1.47,0,13.6,56.6,29.9,Silty Clay Loam,0.089,0.414,0.069,1.34,0.091,0.435,0.061,1.37,1.34,0,14.9,47.4,37.7,Silty Clay Loam,0.094,0.422,0.055,1.37,1.41,0.1,5.1,55.1,39.7,Silty Clay Loam,0.091,0.393,0.046,1.37,1.53,0.1,8.7,54.2,37,Silty Clay Loam,19940101,20991231,,,,,,,,NEWK,Newkirk,Newkirk,36.8981,-96.91035,366,35.56752,-98.5444,35.149586,-98.468069,208.2488908,239.6281795,85,96,,,
123,NEWP,Newport,Ardmore,7,WNW,Carter,34.228806,-97.201397,283,South Central,STANDARD,0.046,0.373,0.033,1.69,1.43,0,53.6,41.4,5,Sandy Loam,0.04,0.364,0.059,1.51,0.038,0.352,0.318,1.53,1.54,0,69.3,21.3,9.4,Sandy Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20021003,20991231,,,,,,,,NEWP,Newport,Ardmore,34.228806,-97.201397,283,35.56752,-98.5444,35.149586,-98.468069,192.7647931,154.578319,77,56,,,
109,NINN,Ninnekah,Ninnekah,2,NNW,Grady,34.96774,-97.95202,356,Central,STANDARD,0.059,0.414,0.084,1.39,1.32,0,43.8,36.6,19.6,Loam,0.058,0.407,0.097,1.37,0.058,0.384,0.15,1.35,1.45,0,43.9,34,22.1,Loam,0.087,0.426,0.14,1.3,1.38,0,29.1,33.6,37.4,Clay Loam,0.096,0.371,0.108,1.24,1.64,0,33.4,31.1,35.6,Clay Loam,19940101,20171011,,,,,,,,NINN,Ninnekah,Ninnekah,34.96774,-97.95202,356,35.56752,-98.5444,35.149586,-98.468069,85.67451921,51.1382163,20,7,,,
69,NORM,Norman,Norman,3,NW,Cleveland,35.2556,-97.4836,360,Central,SUPER,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20020730,,,,,,,,NORM,Norman,Norman,35.2556,-97.4836,360,35.56752,-98.5444,35.149586,-98.468069,102.1997181,90.22136302,30,22,,,
70,NOWA,Nowata,Delaware,3,SE,Nowata,36.74374,-95.60795,206,Northeast,STANDARD,0.079,0.428,0.023,1.72,1.33,0,22,59.2,18.9,Silt Loam,0.078,0.417,0.022,1.73,0.074,0.386,0.02,1.72,1.52,0,18.1,59.9,22.1,Silt Loam,0.106,0.429,0.048,1.33,1.45,0,15.2,45.9,39,Silty Clay Loam,0.119,0.471,0.099,1.24,1.33,0,10,38.3,51.7,Clay,19940101,20991231,,,,,,,,NOWA,Nowata,Delaware,36.74374,-95.60795,206,35.56752,-98.5444,35.149586,-98.468069,294.2763256,312.5617033,116,126,,,
121,NRMN,Norman,Norman,2.1,NW,Cleveland,35.23611,-97.46488,357,Central,STANDARD,0.102,0.431,0.043,1.38,1.41,0,8.3,49,42.7,Silty Clay,0.094,0.431,0.062,1.35,0.078,0.433,0.153,1.34,1.27,0,17.7,48.4,33.9,Silty Clay Loam,0.126,0.371,0.071,1.24,1.71,0,12.5,41.5,46,Silty Clay,0.126,0.387,0.072,1.16,1.66,0,17,39.6,43.4,Clay,20020701,20991231,,,,,,,,NRMN,Norman,Norman,35.23611,-97.46488,357,35.56752,-98.5444,35.149586,-98.468069,104.5522622,91.66604181,32,24,,,
71,OILT,Oilton,Oilton,6,ESE,Creek,36.03126,-96.49749,255,Central,CONTINUITY,0.059,0.335,0.034,1.47,1.73,0,45.8,40.3,13.9,Loam,0.056,0.337,0.046,1.43,0.048,0.346,0.105,1.36,1.61,0,52.1,34,13.9,Sandy Loam,0.052,0.369,0.154,1.36,1.5,0,48.3,35.3,16.4,Loam,0.062,0.357,0.064,1.38,1.61,0,41.9,35.4,22.7,Loam,19940101,20991231,,,,,,,,OILT,Oilton,Oilton,36.03126,-96.49749,255,35.56752,-98.5444,35.149586,-98.468069,191.6665798,203.3696564,75,82,,,
130,OKCE,Oklahoma City East,Oklahoma City,3,E,Oklahoma,35.47226,-97.46414,355,Central,STANDARD,0.053,0.375,0.115,1.37,1.46,0,37.3,37,25.7,Loam,0.047,0.378,0.152,1.37,0.036,0.396,0.324,1.46,1.39,0,76.2,8.8,15,Sandy Loam,0.037,0.298,0.144,1.34,1.85,0,73.1,14.4,12.5,Sandy Loam,0.034,0.358,0.337,1.51,1.56,0,83.7,7.5,8.8,Loamy Sand,20070420,20991231,,,,,,,,OKCE,Oklahoma City East,Oklahoma City,35.47226,-97.46414,355,35.56752,-98.5444,35.149586,-98.468069,98.33849591,97.90534865,27,30,,,
128,OKCN,Oklahoma City North,Oklahoma City,6.1,N,Oklahoma,35.5556,-97.5107,362,Central,STANDARD,0.1,0.465,0.034,1.5,1.25,0,15.7,52.5,31.9,Silty Clay Loam,0.095,0.44,0.063,1.35,0.129,0.439,0.096,1.2,1.47,0.1,7.5,43.5,48.9,Silty Clay,0.13,0.42,0.08,1.17,1.56,0,10,38.8,51.2,Clay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20070303,20180507,,,,,,,,OKCN,Oklahoma City North,Oklahoma City,35.5556,-97.5107,362,35.56752,-98.5444,35.149586,-98.468069,93.51342071,97.86051548,25,29,,,
129,OKCW,Oklahoma City West,Oklahoma City,3.7,W,Oklahoma,35.47112,-97.58245,366,Central,STANDARD,0.105,0.436,0.06,1.3,1.43,0.1,26.3,42.9,30.7,Clay Loam,0.099,0.421,0.054,1.32,0.081,0.379,0.038,1.41,1.58,0,27,48,25,Loam,0.07,0.369,0.049,1.41,1.61,0.1,21.6,59.2,19.1,Silt Loam,0.08,0.356,0.027,1.41,1.73,0.1,16.5,62.4,21,Silt Loam,20070406,20150609,,,,,,,,OKCW,Oklahoma City West,Oklahoma City,35.47112,-97.58245,366,35.56752,-98.5444,35.149586,-98.468069,87.71711453,87.95402762,21,19,,,
72,OKEM,Okemah,Okemah,3,E,Okfuskee,35.43172,-96.26265,263,Central,STANDARD,0.06,0.365,0.071,1.39,1.53,0,27.3,49.3,23.4,Loam,0.072,0.371,0.072,1.35,0.112,0.385,0.076,1.21,1.63,0,13,39.7,47.3,Clay,0.132,0.363,0.074,1.22,1.76,0.1,10,39.8,50.1,Clay,0.132,0.349,0.073,1.21,1.81,0,10.4,40.3,49.3,Silty Clay,19940101,20991231,,,,,,,,OKEM,Okemah,Okemah,35.43172,-96.26265,263,35.56752,-98.5444,35.149586,-98.468069,207.1040718,202.6046412,84,81,,,
73,OKMU,Okmulgee,Morris,3,SW,Okmulgee,35.58211,-95.91473,205,East Central,STANDARD,0.063,0.409,0.044,1.54,1.36,0,15.9,66.5,17.6,Silt Loam,0.071,0.414,0.045,1.5,0.098,0.43,0.05,1.37,1.42,0,9.9,59.2,30.9,Silty Clay Loam,0.129,0.378,0.067,1.15,1.7,0,5,53.4,41.6,Silty Clay,0.116,0.356,0.052,1.29,1.75,0,3.6,60.1,36.3,Silty Clay Loam,19940101,20991231,,,,,,,,OKMU,Okmulgee,Morris,35.58211,-95.91473,205,35.56752,-98.5444,35.149586,-98.468069,237.8287742,236.4625861,98,94,,,
74,PAUL,Pauls Valley,Pauls Valley,1,SSW,Garvin,34.7155,-97.22924,291,South Central,STANDARD,0.047,0.404,0.116,1.4,1.27,0,23.3,60.4,16.3,Silt Loam,0.049,0.405,0.123,1.39,0.054,0.409,0.145,1.37,1.27,0,19.5,58.9,21.6,Silt Loam,0.06,0.381,0.075,1.4,1.45,0,19.2,57.5,23.3,Silt Loam,0.083,0.369,0.039,1.38,1.63,0,18.3,53.2,28.5,Silty Clay Loam,19940101,20991231,,,,,,,,PAUL,Pauls Valley,Pauls Valley,34.7155,-97.22924,291,35.56752,-98.5444,35.149586,-98.468069,152.5625255,122.813769,58,40,,,
75,PAWN,Pawnee,Pawnee,3,ENE,Pawnee,36.36114,-96.76986,283,Northeast,STANDARD,0.12,0.504,0.083,1.28,1.2,0.1,11.2,50.5,38.2,Silty Clay Loam,0.124,0.503,0.081,1.27,0.136,0.496,0.074,1.22,1.31,0,10.2,43.6,46.2,Silty Clay,0.133,0.453,0.068,1.19,1.47,0,9.7,36.7,53.7,Clay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231,,,,,,,,PAWN,Pawnee,Pawnee,36.36114,-96.76986,283,35.56752,-98.5444,35.149586,-98.468069,182.4612529,204.0320954,72,85,,,
76,PERK,Perkins,Perkins,2,NNW,Payne,35.99865,-97.04831,292,Central,STANDARD,0.038,0.418,0.191,1.37,1.17,0,43.3,40.9,15.8,Loam,0.041,0.401,0.165,1.38,0.051,0.349,0.111,1.36,1.58,0,39.2,37.4,23.4,Loam,0.077,0.37,0.131,1.3,1.58,0,34.9,37,28.1,Clay Loam,0.081,0.355,0.047,1.31,1.69,0,38.6,30.7,30.7,Clay Loam,19940101,20991231,,,,,,,,PERK,Perkins,Perkins,35.99865,-97.04831,292,35.56752,-98.5444,35.149586,-98.468069,143.2151187,159.3754355,53,58,,,
118,PORT,Porter,Clarksville,2.5,W,Wagoner,35.8257,-95.55976,193,Northeast,STANDARD,0.043,0.333,0.106,1.37,1.64,0,53.1,34.1,12.8,Sandy Loam,0.044,0.336,0.109,1.37,0.049,0.345,0.112,1.36,1.61,0,47.6,36.3,16.1,Loam,0.061,0.361,0.131,1.33,1.58,0,45.2,34.3,20.5,Loam,0.053,0.362,0.143,1.35,1.55,0,51.2,31.9,16.9,Loam,19991105,20991231,,,,,,,,PORT,Porter,Clarksville,35.8257,-95.55976,193,35.56752,-98.5444,35.149586,-98.468069,271.0368876,273.8260704,106,108,,,
114,PRES,Preston,Preston,1,N,Okmulgee,35.7247,-95.9886,300,East Central,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19960619,20000120,,,,,,,,PRES,Preston,Preston,35.7247,-95.9886,300,35.56752,-98.5444,35.149586,-98.468069,231.5972473,233.5483148,95,92,,,
77,PRYO,Pryor,Adair,5,S,Mayes,36.36914,-95.27138,201,Northeast,STANDARD,0.063,0.425,0.028,1.74,1.23,0,14.9,66.2,18.9,Silt Loam,0.065,0.42,0.032,1.65,0.071,0.402,0.052,1.44,1.4,0,15.8,55.1,29.1,Silty Clay Loam,0.142,0.436,0.046,1.16,1.5,0,2.5,33.8,63.7,Clay,0.137,0.439,0.062,1.15,1.53,0,5.3,36.3,58.4,Clay,19940101,20991231,,,,,,,,PRYO,Pryor,Adair,36.36914,-95.27138,201,35.56752,-98.5444,35.149586,-98.468069,307.7267796,318.7074847,123,127,,,
78,PUTN,Putnam,Putnam,3,N,Dewey,35.89904,-98.96038,589,West Central,STANDARD,0.053,0.386,0.101,1.39,1.4,0,31.6,44.3,24.1,Loam,0.056,0.378,0.092,1.39,0.065,0.355,0.067,1.37,1.6,0,24,48.2,27.9,Clay Loam,0.082,0.425,0.156,1.33,1.32,0,21,49.1,30,Clay Loam,0.084,0.41,0.088,1.32,1.43,0,21.8,45.5,32.7,Clay Loam,19940101,20991231,,,,,,,,PUTN,Putnam,Putnam,35.89904,-98.96038,589,35.56752,-98.5444,35.149586,-98.468069,52.61825552,94.49717342,7,27,,,
79,REDR,Red Rock,Red Rock,7,SSE,Noble,36.3559,-97.15306,293,North Central,STANDARD,0.071,0.383,0.053,1.41,1.5,0,28.7,42.3,29,Clay Loam,0.082,0.398,0.057,1.37,0.114,0.446,0.07,1.26,1.42,0,15.2,38.2,46.6,Clay,0.13,0.378,0.095,1.15,1.69,0,14.6,33.7,51.8,Clay,0.121,0.358,0.047,1.16,1.7,0,13.7,34.8,51.5,Clay,19940101,20991231,,,,,,,,REDR,Red Rock,Red Rock,36.3559,-97.15306,293,35.56752,-98.5444,35.149586,-98.468069,152.8562341,179.088191,60,72,,,
80,RETR,Retrop,Willow,10,ENE,Washita,35.12275,-99.36001,538,West Central,STANDARD,0.076,0.405,0.175,1.35,1.4,0,29,38.1,32.9,Clay Loam,0.081,0.405,0.167,1.33,0.097,0.407,0.147,1.29,1.46,0,20,41.9,38.1,Clay Loam,0.132,0.441,0.166,1.21,1.46,0.1,5.2,32.6,62.1,Clay,0.176,0.468,0.233,1.23,1.37,0,5.8,37.3,56.9,Clay,19940101,20150609,,,,,,,,RETR,Retrop,Willow,35.12275,-99.36001,538,35.56752,-98.5444,35.149586,-98.468069,88.98427465,81.16211344,23,15,,,
81,RING,Ringling,Ringling,1,N,Jefferson,34.19365,-97.58812,283,South Central,STANDARD,0.038,0.365,0.247,1.41,1.46,0,62.4,27,10.6,Sandy Loam,0.049,0.375,0.207,1.38,0.097,0.41,0.132,1.26,1.5,0,35.3,25.4,39.3,Clay Loam,0.112,0.366,0.133,1.21,1.69,0,29.1,29.1,41.8,Clay,0.106,0.348,0.103,1.19,1.75,0,27.7,31.7,40.6,Clay,19940101,20991231,,,,,,,,RING,Ringling,Ringling,34.19365,-97.58812,283,35.56752,-98.5444,35.149586,-98.468069,175.91483,133.3185949,69,47,,,
82,SALL,Sallisaw,Sallisaw,2,SSW,Sequoyah,35.43815,-94.79805,157,East Central,STANDARD,0.061,0.392,0.014,2.09,1.44,0,22.9,61.4,15.7,Silt Loam,0.062,0.384,0.017,1.95,0.052,0.361,0.037,1.61,1.52,0,21.1,60.1,18.8,Silt Loam,0.094,0.375,0.019,1.48,1.65,0,16.1,51.7,32.2,Silty Clay Loam,0.091,0.355,0.015,1.52,1.71,0,16.2,52.3,31.5,Silty Clay Loam,19940101,20991231,,,,,,,,SALL,Sallisaw,Sallisaw,35.43815,-94.79805,157,35.56752,-98.5444,35.149586,-98.468069,339.4127142,334.6029279,134,132,,,
83,SEIL,Seiling,Seiling,7,WNW,Woodward,36.19033,-99.0403,545,North Central,STANDARD,0.052,0.408,0.121,1.37,1.31,0,39.2,38,22.8,Loam,0.056,0.403,0.118,1.37,0.067,0.387,0.11,1.34,1.48,0,35.6,34.4,30,Clay Loam,0.054,0.385,0.247,1.43,1.44,0,46.7,26.7,26.7,Sandy Clay Loam,0.05,0.365,0.203,1.38,1.51,0,52.3,28.6,19.1,Sandy Loam,19940101,20991231,,,,,,,,SEIL,Seiling,Seiling,36.19033,-99.0403,545,35.56752,-98.5444,35.149586,-98.468069,82.41460062,126.7446841,17,43,,,
143,SEMI,Seminole,Seminole,4,SSW,Seminole,35.1766,-96.70028,292,Central,STANDARD,0.083,0.385,0.037,1.39,1.59,0,43.2,36.4,20.4,Loam,0.074,0.389,0.05,1.39,0.084,0.39,0.101,1.29,1.54,0,41.6,32.7,25.7,Loam,0.117,0.365,0.041,1.17,1.68,0,30.7,24.8,44.5,Clay,0.121,0.353,0.095,1.21,1.77,0,29.4,26.1,44.5,Clay,20181031,20991231,,,,,,,,SEMI,Seminole,Seminole,35.1766,-96.70028,292,35.56752,-98.5444,35.149586,-98.468069,172.7601143,160.7244015,67,59,,,
84,SHAW,Shawnee,Shawnee,3,NNW,Pottawatomie,35.36492,-96.94822,328,Central,STANDARD,0.064,0.362,0.031,1.56,1.6,0,23.2,57.9,18.9,Silt Loam,0.062,0.371,0.044,1.49,0.059,0.404,0.121,1.37,1.32,0,17.6,54.5,27.9,Silty Clay Loam,0.127,0.367,0.082,1.15,1.72,0,10.7,43.1,46.3,Silty Clay,0.119,0.337,0.04,1.16,1.76,0,9.1,44.8,46.1,Silty Clay,19940101,20991231,,,,,,,,SHAW,Shawnee,Shawnee,35.36492,-96.94822,328,35.56752,-98.5444,35.149586,-98.468069,146.2989134,140.0599756,55,50,,,
85,SKIA,Skiatook,Skiatook,4,NW,Osage,36.4153,-96.03706,282,Northeast,STANDARD,0.035,0.421,0.142,1.38,1.19,0,64.2,24.5,11.3,Sandy Loam,0.034,0.405,0.159,1.38,0.032,0.358,0.237,1.41,1.49,0,64.3,23.8,11.9,Sandy Loam,0.099,0.39,0.059,1.23,1.63,0,42.7,15.9,41.4,Clay,0.074,0.354,0.052,1.31,1.7,0,51.4,17.9,30.7,Sandy Clay Loam,19940101,20991231,,,,,,,,SKIA,Skiatook,Skiatook,36.4153,-96.03706,282,35.56752,-98.5444,35.149586,-98.468069,244.4756535,260.5560839,99,103,,,
86,SLAP,Slapout,Slapout,8,W,Beaver,36.59749,-100.26192,774,Panhandle,STANDARD,0.04,0.343,0.424,1.86,1.68,0,88.1,0,11.9,Loamy Sand,0.041,0.345,0.379,1.65,0.048,0.354,0.235,1.38,1.64,0,73,7.5,19.5,Sandy Loam,0.038,0.327,0.27,1.42,1.75,0,78.1,4.4,17.5,Sandy Loam,0.057,0.348,0.029,1.59,1.63,0,46.6,28.9,24.5,Loam,19940101,20991231,,,,,,,,SLAP,Slapout,Slapout,36.59749,-100.26192,774,35.56752,-98.5444,35.149586,-98.468069,192.1881375,228.1250482,76,91,,,
146,SMIT,Smithville,Smithville,2.5,SSW,McCurtain,34.429722,-94.655,230,Southeast,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20250715,20991231,,,,,,,,SMIT,Smithville,Smithville,34.429722,-94.655,230,35.56752,-98.5444,35.149586,-98.468069,376.1525501,357.2620287,141,138,,,
87,SPEN,Spencer,Spencer,2,ENE,Oklahoma,35.54208,-97.34146,373,Central,STANDARD,0.038,0.391,0.219,1.37,1.43,0,74.2,9.4,16.4,Sandy Loam,0.051,0.383,0.167,1.34,0.094,0.351,0.057,1.2,1.76,0,39.8,19.2,41,Clay,0.079,0.352,0.101,1.23,1.75,0,56.6,7.7,35.7,Sandy Clay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231,,,,,,,,SPEN,Spencer,Spencer,35.54208,-97.34146,373,35.56752,-98.5444,35.149586,-98.468069,108.8585046,111.1113615,35,35,,,
88,STIG,Stigler,Stigler,3,WNW,Haskell,35.26527,-95.18116,173,East Central,STANDARD,0.053,0.32,0.019,1.71,1.83,0,21.9,65.5,12.6,Silt Loam,0.054,0.329,0.017,1.79,0.048,0.355,0.014,2.02,1.64,0,19.6,66.6,13.8,Silt Loam,0.102,0.317,0.062,1.26,1.86,0,15.3,54.8,29.9,Silty Clay Loam,0.118,0.332,0.062,1.24,1.83,0,11.1,50.5,38.4,Silty Clay Loam,19940101,20991231,,,,,,,,STIG,Stigler,Stigler,35.26527,-95.18116,173,35.56752,-98.5444,35.149586,-98.468069,306.6075777,298.8922076,121,119,,,
89,STIL,Stillwater,Stillwater,2,W,Payne,36.12093,-97.09527,272,Central,STANDARD,0.115,0.465,0.138,1.27,1.3,0,15.7,49.6,34.8,Silty Clay Loam,0.106,0.443,0.112,1.27,0.084,0.375,0.057,1.33,1.6,0,24.9,47.1,28,Clay Loam,0.075,0.371,0.071,1.33,1.58,0,29.4,42,28.6,Clay Loam,0.117,0.358,0.053,1.16,1.7,0,25.2,29.7,45.1,Clay,19940101,20991231,,,,,,,,STIL,Stillwater,Stillwater,36.12093,-97.09527,272,35.56752,-98.5444,35.149586,-98.468069,144.3860148,164.4884913,54,61,,,
90,STUA,Stuart,Stuart,3,SE,Pittsburg,34.87642,-96.06982,256,East Central,STANDARD,0.023,0.35,0.207,1.39,1.54,0.1,82.6,14.4,2.9,Loamy Sand,0.014,0.406,0.354,1.45,0.02,0.349,0.328,1.51,1.53,0,75.4,19.2,5.4,Loamy Sand,0.049,0.312,0.102,1.3,1.84,0,74.4,9.2,16.4,Sandy Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231,,,,,,,,STUA,Stuart,Stuart,34.87642,-96.06982,256,35.56752,-98.5444,35.149586,-98.468069,237.5494672,220.5074128,97,89,,,
91,SULP,Sulphur,Sulphur,4,NNE,Murray,34.5661,-96.95048,320,South Central,STANDARD,0.078,0.509,0.285,1.4,0.98,0,43.3,22.8,33.9,Clay Loam,0.081,0.501,0.262,1.37,0.092,0.473,0.196,1.31,1.24,0,38.9,19.1,42,Clay,0.069,0.405,0.259,1.43,1.42,0,50.7,19,30.3,Sandy Clay Loam,0.055,0.39,0.287,1.51,1.4,0,48.2,26.5,25.3,Sandy Clay Loam,19940101,20991231,,,,,,,,SULP,Sulphur,Sulphur,34.5661,-96.95048,320,35.56752,-98.5444,35.149586,-98.468069,182.8698136,152.9140701,73,53,,,
92,TAHL,Tahlequah,Tahlequah,4,N,Cherokee,35.97235,-94.98671,290,East Central,STANDARD,0.039,0.443,0.144,1.39,1.01,0,25.8,61.6,12.6,Silt Loam,0.042,0.431,0.114,1.41,0.052,0.402,0.056,1.51,1.3,0,21.4,60.4,18.2,Silt Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231,,,,,,,,TAHL,Tahlequah,Tahlequah,35.97235,-94.98671,290,35.56752,-98.5444,35.149586,-98.468069,324.0978993,327.9102137,128,130,,,
138,TALA,Talala,Talala,3.9,NW,Rogers,36.57431,-95.74515,228,Northeast,STANDARD,0.072,0.428,0.027,1.68,1.3,0.1,30.1,54.6,15.2,Silt Loam,0.062,0.399,0.077,1.4,0.076,0.423,0.073,1.37,1.35,0,30,45.7,24.3,Loam,0.122,0.48,0.112,1.23,1.3,0,16,35.6,48.4,Clay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20140922,20991231,,,,,,,,TALA,Talala,Talala,36.57431,-95.74515,228,35.56752,-98.5444,35.149586,-98.468069,275.3573983,292.0549244,111,116,,,
93,TALI,Talihina,Talihina,4,SE,LeFlore,34.7107,-95.01152,204,Southeast,CONTINUITY,0.049,0.392,0.076,1.43,1.36,0,45.4,35.8,18.8,Loam,0.059,0.407,0.071,1.42,0.095,0.457,0.065,1.33,1.31,0,23.4,27.2,49.4,Clay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231,,,,,,,,TALI,Talihina,Talihina,34.7107,-95.01152,204,35.56752,-98.5444,35.149586,-98.468069,335.0533044,318.8495053,132,128,,,
94,TIPT,Tipton,Tipton,4,S,Tillman,34.43972,-99.13755,387,Southwest,STANDARD,0.05,0.37,0.104,1.38,1.48,0,42.6,41.6,15.8,Loam,0.05,0.365,0.109,1.37,0.05,0.349,0.128,1.36,1.58,0.1,43.9,38.4,17.6,Loam,0.055,0.383,0.15,1.36,1.45,0,43.1,35.4,21.5,Loam,0.059,0.352,0.081,1.36,1.61,0,42.1,34.6,23.3,Loam,19940101,20991231,,,,,,,,TIPT,Tipton,Tipton,34.43972,-99.13755,387,35.56752,-98.5444,35.149586,-98.468069,136.5468189,99.83772533,51,31,,,
95,TISH,Tishomingo,Tishomingo,6,N,Johnston,34.33262,-96.67895,268,South Central,STANDARD,0.057,0.369,0.039,1.55,1.51,0,32,50.4,17.6,Silt Loam,0.065,0.374,0.037,1.51,0.091,0.388,0.033,1.39,1.58,0,27.4,43.6,29,Clay Loam,0.132,0.358,0.083,1.2,1.78,0,15.9,33.1,51,Clay,0.128,0.34,0.081,1.2,1.83,0,18.7,33.9,47.4,Clay,19940101,20991231,,,,,,,,TISH,Tishomingo,Tishomingo,34.33262,-96.67895,268,35.56752,-98.5444,35.149586,-98.468069,218.5365432,187.0166275,87,76,,,
96,TULL,Tullahassee,Tullahassee,2,ENE,Wagoner,35.8397,-95.4133,189,Northeast,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,19991104,,,,,,,,TULL,Tullahassee,Tullahassee,35.8397,-95.4133,189,35.56752,-98.5444,35.149586,-98.468069,284.326877,286.9872823,114,114,,,
137,TULN,Tulsa,Tulsa,4.2,NE,Tulsa,36.19666,-95.93883,209,Northeast,STANDARD,0.087,0.466,0.032,1.58,1.17,0,27.3,48.8,23.9,Loam,0.088,0.393,0.042,1.39,0.079,0.351,0.031,1.4,1.7,0,23.1,47.7,29.2,Clay Loam,0.125,0.388,0.04,1.19,1.62,0,15,39.9,45.1,Clay,0.078,0.28,0.034,1.25,1.91,0,21.3,49.5,29.2,Clay Loam,20130626,20991231,,,,,,,,TULN,Tulsa,Tulsa,36.19666,-95.93883,209,35.56752,-98.5444,35.149586,-98.468069,244.9362403,256.4098001,100,102,,,
140,VALL,Valliant,Valliant,5,SSW,McCurtain,33.938606,-95.114913,120,Southeast,STANDARD,0.068,0.311,0.008,1.96,1.83,0,37.6,54.9,7.6,Silt Loam,0.042,0.336,0.05,1.53,0.039,0.33,0.073,1.45,1.63,0,42.5,51.2,6.3,Silt Loam,0.056,0.333,0.05,1.41,1.72,0,35.4,49.9,14.7,Loam,0.098,0.385,0.045,1.29,1.61,0,27.7,34.7,37.6,Clay Loam,20151014,20991231,,,,,,,,VALL,Valliant,Valliant,33.938606,-95.114913,120,35.56752,-98.5444,35.149586,-98.468069,361.8681007,335.3133487,138,133,,,
115,VANO,Vanoss,Vanoss,2.4,NE,Pontotoc,34.79146,-96.84381,320,South Central,STANDARD,0.054,0.356,0.078,1.38,1.59,0,52.8,29.6,17.6,Sandy Loam,0.071,0.368,0.079,1.32,0.128,0.39,0.078,1.14,1.66,0,28,27.4,44.6,Clay,0.136,0.466,0.075,1.16,1.45,0.1,23.5,26.1,50.3,Clay,0.136,0.387,0.027,1.15,1.63,0,21.5,27.5,51.1,Clay,19980617,20121101,,,,,,,,VANO,Vanoss,Vanoss,34.79146,-96.84381,320,35.56752,-98.5444,35.149586,-98.468069,177.0127825,153.2614076,70,54,,,
97,VINI,Vinita,Centralia,7,E,Craig,36.77536,-95.22094,236,Northeast,STANDARD,0.073,0.383,0.032,1.53,1.55,0,15.6,64.1,20.3,Silt Loam,0.069,0.384,0.04,1.49,0.057,0.392,0.083,1.4,1.38,0,25.4,49.9,24.7,Loam,0.125,0.465,0.174,1.24,1.35,0,15.3,29.1,55.6,Clay,0.128,0.47,0.058,1.23,1.4,0,9.6,31,59.4,Clay,19940101,20991231,,,,,,,,VINI,Vinita,Centralia,36.77536,-95.22094,236,35.56752,-98.5444,35.149586,-98.468069,327.1345821,343.6069274,130,134,,,
